Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Fruits & Vegetables,Onion,25,16,3,2100,1000,FALSE,1
Fruits & Vegetables,Tomato Hybrid,42,16,3,3500,1000,FALSE,1
Fruits & Vegetables,Tender Coconut,51,15,3,4300,58,FALSE,1
Fruits & Vegetables,Coriander Leaves,20,15,3,1700,100,FALSE,100
Fruits & Vegetables,Ladies Finger ,14,14,3,1200,250,FALSE,250
Fruits & Vegetables,Potato,35,17,3,2900,1000,FALSE,1
Fruits & Vegetables,Lemon,75,16,3,6300,200,FALSE,200
Fruits & Vegetables,Watermelon ,58,15,3,4900,58,FALSE,1
Fruits & Vegetables,Capsicum Green ,23,17,3,1900,250,FALSE,250
Fruits & Vegetables,Chilli Green ,19,15,3,1600,100,FALSE,100
Fruits & Vegetables,Banana Robusta,29,17,3,2400,348,FALSE,6
Fruits & Vegetables,Garlic Indian ,11,18,3,900,100,FALSE,100
Fruits & Vegetables,Cauliflower,26,15,3,2200,58,FALSE,1
Fruits & Vegetables,Ginger,14,14,3,1200,200,FALSE,200
Fruits & Vegetables,Spinach,19,15,3,1600,250,FALSE,250
Fruits & Vegetables,Muskmelon,42,16,3,3500,58,FALSE,1
Fruits & Vegetables,Cabbage ,15,13,3,1300,58,FALSE,1
Fruits & Vegetables,Methi,30,16,3,2500,250,FALSE,250
Fruits & Vegetables,Broccoli,36,16,3,3000,500,FALSE,500
Fruits & Vegetables,Sapota,30,16,3,2500,348,FALSE,6
Fruits & Vegetables,Onion,68,16,3,5700,3000,FALSE,3
Fruits & Vegetables,Potato,100,16,3,8400,3000,FALSE,3
Fruits & Vegetables,Orange Nagpur,82,15,3,6900,232,FALSE,4
Fruits & Vegetables,Mint Leaves ,11,18,3,900,100,FALSE,100
Fruits & Vegetables,Beans French,33,15,3,2800,250,FALSE,250
Fruits & Vegetables,Bottle Gourd ,26,15,3,2200,58,FALSE,1
